                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202005072000  133  9     0      3      7     21     97    196    381    218    198
202005072030  133  9     0      2      7     22    106    256    296    255    198
202005072100  140  9     0      3      4     18    107    259    417    235    237
202005072130  128  9     0      3     10     31     77    227    284    211    208
202005072200  125  9     0      3     10     28    108    214    228    202    200
202005072230  136  9     0      2      5     23     62    237    419    246    213
202005072300  124  9     0      1      9     28     64    188    286    211    202
202005072330  114  4     0      2      7     38     68    164    173    186    198
202005080000  113  9     0      2      7     29     66    138    215    178    183
202005080030  108  4     1      2      8     23     68    131    168    151    186
202005080100  103  9     0      2      5     23     64    129    169    124    165
202005080130   98  9     1      3      7     30     53     91    144    143    139
202005080200   93  4     0      2     11     18     58    125    110     92    142
202005080230   93  4     0      2      7     29     69    102    122     70    152
202005080300   90  4     0      2     10     26     34    111    105     77    145
202005080330   90  4     0      1      5     34     57    112    101     70    130
202005080400   94 11     0      1     14     16     50    177    119     69    123
202005080430   89  9     1      2     13     13     64    113    117     68    117
202005080500   95  4     0      3     12     22     78    135     87     92    136
202005080530   97 11     1      3     11     18     40    162    130    114    139
202005080600  100  7     0      2      6     28     42    138    142    156    124
202005080630   93  7     0      2     11     15     30     87    119    160    132
202005080700  104  9     0      2      7     22     49    124    205    162    134
202005080730  111  7     0      2      5     35     63    146    177    207    156
202005080800  103 11     0      2      8     25     55    158    137    154    148
202005080830  100  9     0      3      7     21     67    120    145    123    141
202005080900  102  9     0      2     12     36     56    109    175    141    130
202005080930  104  7     0      3      9     36     73    135     97    177    152
202005081000   97  4     0      2     13     32     52     97    102    144    150
202005081030   96  9     0      2      6     23     50    108    134    121    130
202005081100   97  7     0      3      8     29     76    102    108    137    134
202005081130   85  4     0      2      5     25     48     61     74    118    122
202005081200   92  4     0      2     13     30     35    100     91    116    146
