                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007080800   95  7     1      2     12     36     58     32    126    159    146
202007080830  105  4     1      2     13     75     46     42    159    170    193
202007080900   99  7     1      2     10     76     52     36     90    177    175
202007080930  104  4     0      2     13     67     69     45    144    148    193
202007081000  105  4     0      2      9     86     54     40    163    172    173
202007081030  104  7     1      1      6     68     60     48    142    187    176
202007081100  105  7     0      2     10     35     82     48    152    207    164
202007081130  102  4     0      2      8     77     61     28    124    141    210
202007081200  104  7     0      2      5     39     49     29    150    229    174
202007081230  109  7     1      2      9     46     32     32    168    264    185
202007081300  107  7     0      2      9     38     55     50    135    270    168
202007081330  111  7     0      1      9     55     76     25    132    278    198
202007081400  116  7     1      2      6     92     81     47    157    260    200
202007081430  117  4     0      1     15     43    101     48    131    251    266
202007081500  113  4     0      2      9     55     64     32    174    224    245
202007081530  114  7     0      1     10     66     39     37    132    305    220
202007081600  112  7     0      2     16     92     64     34    103    246    232
202007081630  115  4     1      2      8    107     87     37    122    185    274
202007081700  110  4     0      1      5     46     69     41    164    200    227
202007081730  109  7     0      2      5     71    101     35    115    230    189
202007081800  114  4     1      2      6     67    100     42    171    184    241
202007081830  114  4     1      2      6    127    103     51     99    198    227
202007081900  110  4     1      2      5     52     56     38    156    200    245
202007081930  121  4     1      1      7     90    117     45    176    233    241
202007082000  117  4     1      2      5     78     68     56    176    204    263
202007082030  118  4     1      2      6     60     94     86    192    213    218
202007082100  127  9     1      2     10    102    106     70    268    222    233
202007082130  122  9     1      2      7     55     82    118    237    222    223
202007082200  112  9     0      1      8     66    104     74    205    153    170
202007082230  129  9     0      1      7     65    132    101    304    257    179
202007082300  133  7     1      1     10     54    129    113    305    329    183
202007082330  124  9     1      2      5     60     88     73    293    242    191
202007090000  127  9     1      1      7     91     93     96    317    260    165
202007090030  123  9     0      1      9     37     64     76    365    272    152
202007090100  120  9     1      2     12     68    116     82    262    221    146
202007090130  115  9     0      2      6     84     87     68    238    206    143
202007090200  109  7     0      1      6     78     91     76    145    215    139
202007090230  107  9     0      1      5     83     91     62    187    159    134
202007090300  110  9     0      2     11     71    148     51    177    175    123
202007090330  101  9     0      1      4     57     97     69    163    126    130
202007090400   99  9     0      1      5     61     52     55    164    156    133
202007090430  105  7     0      1      4    106     99     61    153    158    116
202007090500  104  7     1      2      7     67    105     92    137    160    114
202007090530   91  7     0      1      3     64     59     38    121    125    112
202007090600   91  7     0      1      3     42     73     59    104    133    112
202007090630   95  7     0      2      7     79     89     48     93    152    108
202007090700   92  4     1      1      2     88     90     49     87    108    111
202007090730   94  7     0      2      4     63    103     60     75    130    116
202007090800   90  7     1      1      4     68     92     39     65    117    116
202007090830   80  4     0      2      4     28     39     41     70    104    122
202007090900   88  4     0      1      3     52     55     56     64    120    132
202007090930   85  4     0      1      3     43     70     50     67    110    122
202007091000   86  4     0      2      3     37     53     46     72    114    141
202007091030   85  4     0      1      3     27     44     38    111    102    127
202007091100   85  4     0      2      3     56     58     37     95     75    129
202007091130   89  4     0      1      3     67     77     42     93     86    134
202007091200   91  9     0      1      3     26     58     68    133    111    129
202007091230   99  9     0      1      2     45     62     67    157    142    146
202007091300   95  7     0      1      2     33     75     47    141    147    122
202007091330   99  7     0      1      3     58     68     57    144    156    130
202007091400  101  7     0      1      4     56     75     75    126    158    152
202007091430  107  7     0      1      3     46    110     63    143    202    150
202007091500  104  7     0      1      3     50    109     66    134    173    148
202007091530   99  7     0      2      3     48     47     58    134    175    160
202007091600   96  4     0      1      2     37     85     59     92    148    158
202007091630   91  4     0      1      2     33     67     44     95    116    166
202007091700   90  4     0      2      2     41     87     38     74    118    157
202007091730   91  4     0      1      1     26    117     39     56    117    171
202007091800   94  4     0      1      2     42    101     44     77    143    156
202007091830   89  4     0      1      2     34     96     48     74    108    142
202007091900   85  4     0      1      2     51     62     41     36    104    154
202007091930   85  4     0      1      3     28     88     42     41     92    161
202007092000   76  4     0      1      2     28     39     48     56     63    127
202007092030   82  4     0      1      2     35     69     39     49     81    147
202007092100   82  4     0      1      1     38     85     45     55     77    121
202007092130   83  4     0      1      3     41     65     53     73     98    106
202007092200   81  4     0      1      2     39     76     33     48     91    121
202007092230   87  4     0      2      2     50     65     58     95     88    118
202007092300   83  4     0      1      1     44     75     37     72     97    108
202007092330   84  4     0      1      3     52    105     44     51     71    112
202007100000   76  4     0      1      3     33     72     34     48     72     99
202007100030   83  7     0      2      4     70     85     44     39     97     92
202007100100   77  7     0      1      3     34     71     41     38     99     81
202007100130   90  7     0      1      3     54    117     35     57    135    107
202007100200   85  7     0      1      2     48     75     44     66    125     88
202007100230   80  7     0      1      2     26     71     28     61    128     86
202007100300   79  7     0      1      2     45     67     36     69     88     84
202007100330   77  4     0      1      1     25     69     38     55     90     95
