                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007071000  105 15     1      3     33    142    106     52    100    139    121
202007071030   95  7     1      5     14     66     73     46     87    151    124
202007071100  100  7     0      4     13     53     75     50    108    192    143
202007071130  101  7     1      4     28     41     97     25     74    223    137
202007071200  107  7     0      5     32     68     75     40    109    220    164
202007071230  115  7     0      4     25     85     62     34    127    314    183
202007071300  120  7     1      6     15     93     89     47    163    319    167
202007071330  144  7     1      5     29    154    101     50    222    552    184
202007071400  129  7     1      6     33     77     86     52    217    371    211
202007071430  145  7     1      3     34    171    111     54    228    463    260
202007071500  133  7     1      6     20    125    119     75    243    333    195
202007071530  126  7     0      3     17     77     78     63    212    374    183
202007071600  129  7     0      2     20     76     72     89    205    412    191
202007071630  127  7     1      3     15     88    115     65    209    311    202
202007071700  124  7     1      4     27     35     73     94    264    293    187
202007071730  125  7     1      4     11     78    116     56    224    330    168
202007071800  113  7     0      2     21     26     62     48    181    301    165
202007071830  111  7     1      3     15     48     66     82    118    226    216
202007071900  109  7     0      3     21     57    106     37    112    245    166
202007071930  109  7     1      2     18    109    112     75    130    164    154
202007072000  109  7     1      4     19     84    114     45    137    215    135
202007072030  109  7     1      3     24     63     76     74    169    191    152
202007072100  110  7     1      4     27     49     97     77    141    213    158
202007072130  107  7     0      2     26     70    109     54    121    180    152
202007072200   97  4     1      3     27     49     60     41    123    136    157
202007072230  103  7     0      4     25     70     92     53    125    162    133
202007072300  100  7     1      2     30     66     63     40    140    147    138
202007072330   96  7     0      2     13     95     73     46     98    133    119
202007080000   92  4     0      3     29     66     67     42     94    103    134
202007080030  102  7     0      3     24     61    126     43     89    187    120
202007080100   93  7     0      2     31     53     95     28     68    152    108
202007080130   91  7     1      2     25     64     77     34     75    135    105
202007080200   97  7     1      3     23     88    110     41     65    141    118
202007080230   93  7     0      2     12     72     79     24     95    142    114
202007080300   90  7     0      3      8     55     44     30    111    149    111
202007080330  104  7     1      3     20     67    105     33    126    210    114
202007080400   98  7     1      4     34    106     75     50     86    137    111
202007080430  102  7     1      4     28     92     83     29    149    152    117
202007080500   97  7     1      4     27     82     57     29    102    172    120
202007080530  100  7     1      3      7     51     80     47     98    213    131
202007080600  101  7     1      2      7     73     92     30     95    218    118
202007080630   97  7     1      2     18     81     64     29     96    169    132
202007080700   97  7     1      2     14     57     62     36    108    172    134
202007080730  100  7     0      1     13     72     60     27    104    208    140
202007080800  109  7     0      2     11     54    103     33    166    243    134
202007080830  106  7     1      3      8     41     54     34    121    261    185
202007080900  101  7     1      2     10     79     43     21    127    208    149
202007080930   99  7     1      2      8     46     71     31    125    192    145
202007081000  104  7     1      2     10     60     61     28    149    208    164
202007081030  104  7     1      2     10     53     50     23    126    263    152
202007081100  105  7     0      2     13     73     53     33    159    204    162
202007081130  114  7     1      2     11     90     64     33    129    294    185
202007081200  114  7     1      1     10     34     48     46    209    282    195
202007081230  119  7     1      1      4     63     49     42    191    374    171
202007081300  118  7     1      2      9    106     53     34    233    259    177
202007081330  115  7     0      1      7     46     73     38    200    264    203
202007081400  123  7     1      3     10     98     77     47    216    311    191
202007081430  122  7     0      2     11    102     71     41    214    302    186
202007081500  130  7     1      2      6     80    103     33    247    368    219
202007081530  118  7     0      2      7     73     58     44    183    308    198
202007081600  127  7     1      2      6     94     68     50    228    394    188
202007081630  129  7     0      2     11     80     87     61    305    338    168
202007081700  115  7     0      1      8     41     57     28    227    324    153
202007081730  111  9     1      1     12     53     47     54    239    239    132
202007081800  108  7     0      2      8     55     93     44    192    211    126
202007081830  104  7     0      2      6     77     76     44    183    191    106
202007081900  106  7     1      1      9    104     65     34    165    218    121
202007081930  101  7     0      2      5     47     63     41    166    214    107
202007082000  103  7     0      1      9     68    131     34    128    173    117
202007082030  101  9     1      2      8     39    104     30    172    167    118
202007082100  100  7     1      2      9    112     99     57    126    127    107
202007082130   88  7     0      1      6     85     55     46     81    116     98
202007082200   89  9     1      2     12     79     77     41     99     98     83
202007082230   88  7     0      1      8     56     58     66     93    108     97
202007082300   94  9     1      2      4     56     65     45    152    130    105
202007082330  106  9     1      3      9     78    122     44    173    165    106
202007090000  101  9     1      3     13     62     68     49    177    174     91
202007090030  103  7     1      1      9     81     67     50    155    172    123
202007090100   94  7     0      1      6     49     41     47    128    183     99
202007090130   94  7     1      2      8     64     65     47    133    145     97
202007090200  102  7     0      2      8    103     68     36    160    177     97
202007090230  111  7     1      2      7    123    106     52    163    213    109
202007090300  108  7     0      2      7     72    104     46    151    247    102
202007090330  104  7     1      2      5     75    100     55    122    213    111
202007090400   97  9     1      1      4     74     76     52    147    119    120
202007090430  104  9     1      2      5    103     91     40    164    155    119
202007090500   95  7     0      2     13     59     60     60    117    152    102
202007090530   99  7     1      2      8     73     81     61    124    169    112
202007090600   93  7     1      2      5     75     53     60     83    143    127
202007090630   98  7     0      2      4     57     94     68    123    156    104
202007090700  103  7     0      1      4     35     92     50    183    185    119
202007090730  101  9     0      1      5     56     82     51    181    156    110
202007090800   93  7     1      2      6     48     51     51    116    154    118
202007090830   95  9     0      1      3     44     67     67    162    122    105
202007090900  100  7     1      1      2     61    108     48    139    147    127
202007090930   93  9     0      1      5     38     50     66    160    116    115
202007091000  104  9     0      1      5     42     85     78    228    114    139
202007091030  105  9     0      1      4     73    121     51    177    133    146
202007091100   96  9     0      2      5     41     61     54    166    145    115
202007091130   95  7     0      1      3     42     73     46    134    154    116
202007091200   91  7     0      1      4     41     46     45    136    143    110
202007091230   90  7     0      1      3     49     78     40    102    128    112
202007091300   86  4     0      1      4     49     69     50     58    114    119
202007091330   88  4     0      1      5     68     82     42     63     99    129
202007091400   88  7     0      2      3     47     89     37     62    129    121
202007091430   91  4     0      1      3     38     67     56     72    142    144
202007091500   89  7     0      1      3     52     98     20     60    133    126
202007091530   91  7     0      1      4     50     76     31     75    144    142
202007091600   93  7     0      1      6     43     82     69     92    133    117
202007091630   87  4     0      1      2     44     94     49     65    101    124
202007091700   95 13     0      2      3     50    125     51    112    119    108
202007091730   83  7     0      3      4     48     81     28     63    104    101
202007091800   81  7     0      1      1     45     79     44     77     97     69
202007091830   80  7     0      2      2     38     60     50     91     96     72
202007091900   81  7     0      1      3     39     95     41     51    114     69
202007091930   83  7     0      1      2     45     97     57     60    106     66
202007092000   80  7     0      1      4     32     81     60     64     98     70
202007092030   79 13     0      2      2     55    111     31     49     76     69
202007092100   79  7     0      1      2     53     61     40     67    100     65
202007092130   81 13     0      2      3     51    118     37     62     72     64
202007092200   81  7     0      2      2     61     76     32     54    125     61
202007092230   78  7     0      1      2     26     69     51     47    114     73
202007092300   78  7     1      1      2     43     71     55     60     85     73
202007092330   81 13     0      1      2     41    111     38     59     96     67
202007100000   76  7     0      1      2     34     79     32     57     91     65
202007100030   74 13     0      1      2     42     93     36     33     70     63
202007100100   78  7     0      2      4     75     59     37     57     79     63
202007100130   84 13     0      1      2     44    112     37     66    106     76
202007100200   78  7     0      1      2     41     70     29     81     89     71
202007100230   83 13     0      2      2     52     90     47     79     80     81
202007100300   82  7     0      2      2     44     88     38     62    115     72
202007100330   81  7     0      1      1     50     84     34     72     88     82
202007100400   80  7     0      1      3     52     75     26     81     83     79
202007100430   76 13     0      1      2     29     91     24     52     90     68
202007100500   74  7     0      1      2     36     61     26     49     89     74
202007100530   86 13     0      1      1     78    118     49     50     82     84
202007100600   78 13     0      1      2     31    121     39     36     73     82
202007100630   73  4     0      2      2     33     61     46     28     72     92
202007100700   74  4     0      2      2     55     69     39     31     59     88
202007100730   79 13     0      2      3     63     89     53     38     74     73
202007100800   76 13     0      2      2     19     98     41     47     76     78
202007100830   76 13     0      2      2     37     76     54     41     73     76
202007100900   69  7     0      1      1     22     48     37     38     76     72
202007100930   74  4     0      1      3     38     62     37     61     65     81
202007101000   74 13     0      1      2     21     94     44     35     79     70
202007101030   70  4     0      1      1     39     66     29     30     64     80
202007101100   72 13     0      1      1     23    117     39     31     50     66
202007101130   68 13     0      1      1     35     76     25     31     53     64
202007101200   70 13     0      2      2     28    111     36     24     46     59
202007101230   73 13     0      2      2     29    141     46     21     46     49
202007101300   68 13     0      1      2     32     86     45     33     44     48
202007101330   68 13     0      1      1     31     93     59     22     30     55
202007101400   72 13     0      2      2     37    119     46     34     42     48
202007101430   66 13     0      1      1     21     72     47     39     44     54
202007101500   73 13     0      1      1     30    100     53     38     64     50
202007101530   72 13     0      1      1     18     98     59     37     52     57
202007101600   71 13     0      1      2     30     68     54     49     59     60
202007101630   73 13     0      2      2     11     93     43     57     70     62
202007101700   86 13     0      1      1     18    144     69     83     90     62
202007101730   70  4     0      2      2     15     56     54     56     56     65
202007101800   73 13     0      2      1     26     82     55     47     57     64
202007101830   70 13     0      2      1     18     99     34     40     58     55
202007101900   64 13     0      1      1     14     67     46     38     40     53
202007101930   72 13     0      2      1     20    109     63     38     37     58
202007102000   69 13     0      1      1     15     96     61     38     38     49
202007102030   69 13     0      2      1     17     94     76     28     40     40
202007102100   71 13     0      1      1     16     95     76     50     38     43
202007102130   76 13     0      1      1     23    114     67     45     52     55
202007102200   74 13     0      1      2     18    105     75     42     50     50
202007102230   73 13     0      3      2     14     94     61     48     50     61
202007102300   77 13     0      2      1     15     90     79     53     55     69
202007102330   70 13     0      1      1     14     75     36     33     67     73
202007110000   76  7     0      2      2     12     78     54     48     80     79
202007110030   82 13     0      2      2     31     90     66     52     90     88
202007110100   84 13     0      2      1     13    141     85     44     73     82
202007110130   81 11     0      2      2     12     86     99     45     68     90
202007110200   80 11     0      1      1     10     73    104     59     55     99
202007110230   74  4     0      2      2      9     96     51     34     55     99
202007110300   76  4     0      1      1     10     82     62     37     67    102
202007110330   71  4     0      2      2      7     71     66     31     48     90
202007110400   77 13     0      1      2      8    101     85     38     45     88
202007110430   73  4     0      2      1     12     87     55     28     60     91
202007110500   69  4     0      1      2      6     72     51     34     48     82
202007110530   75  4     0      1      1      8     63     60     42     57    117
202007110600   81  4     0      2      1     11     84     63     42     61    146
202007110630   77  4     0      2      2      7     73     47     45     56    139
202007110700   73  4     0      2      2     12     63     35     33     46    141
202007110730   82  4     0      1      2     11     87     77     44     52    147
202007110800   75  4     0      2      3     11     61     56     46     37    135
202007110830   70  4     0      1      1      5     53     54     43     31    120
